dim,id,label,poems,authors
syllab,8.8.8.8.8.8.8.6.8.8.8.8.10.12.10.10.10.10.8.8.6.8.8.6,8.8.8.8.8.8.8.6.8.8.8.8.10.12.10.10.10.10.8.8.6.8.8.6,1,1
syllab,8.6.8.8.8.10,8.6.8.8.8.10,1,1
syllab,8.8.10.8.10.8,8.8.10.8.10.8,1,1
syllab,9.12.9.12,9.12.9.12,1,1
syllab,10.10.10.14,10.10.10.14,1,1
syllab,8.7.8.8.7,8.7.8.8.7,1,1
syllab,7.8.7.8.8.7,7.8.7.8.8.7,1,1
syllab,8.6.8.6.8.8.8.8,8.6.8.6.8.8.8.8,1,1
syllab,8.8.8.6.8.8.8.8.8.6,8.8.8.6.8.8.8.8.8.6,1,1
syllab,11.11.11.5,11.11.11.5,1,1
syllab,8.8.8.8.4.4.6.8.8.4.4.6.8.8,8.8.8.8.4.4.6.8.8.4.4.6.8.8,1,1
syllab,8.8.8.8.7.6,8.8.8.8.7.6,1,1
syllab,10.10.10.10.10.10.12,10.10.10.10.10.10.12,1,1
syllab,12.12.12.12.5.6.12.12.12,12.12.12.12.5.6.12.12.12,1,1
syllab,8.8.10.8.8.10,8.8.10.8.8.10,1,1
syllab,10.10.8.8.8.8,10.10.8.8.8.8,1,1
syllab,8.6.8.6.8.7.7.8.6,8.6.8.6.8.7.7.8.6,1,1
syllab,11.11.11.11.11,11.11.11.11.11,1,1
syllab,10.10.10.10.10.14,10.10.10.10.10.14,1,1
syllab,8.8.8.8.8.6.8.6,8.8.8.8.8.6.8.6,1,1
syllab,12.11.12.11,12.11.12.11,1,1
syllab,8.8.9.9,8.8.9.9,1,1
syllab,14.14.14.14.14.14,14.14.14.14.14.14,1,1
syllab,10.8.10.8.8.10.10.10.10.8.10.10.8.8.10.10.10.8.10.8.8.10.10.8.6.10.10.6.10.8.10.10.8.10,10.8.10.8.8.10.10.10.10.8.10.10.8.8.10.10.10.8.10.8.8.10.10.8.6.10.10.6.10.8.10.10.8.10,1,1
syllab,14.14.14.14,14.14.14.14,1,1
syllab,11.7.11.7.11.7.11.7,11.7.11.7.11.7.11.7,1,1
syllab,9.7.9.7,9.7.9.7,1,1
syllab,6.6.12.12.9,6.6.12.12.9,1,1
syllab,7.7.8.6.8.8.8.8,7.7.8.6.8.8.8.8,1,1
syllab,10.10.10.10.10,10.10.10.10.10,1,1
syllab,8.8.8.8.6.6.11.11.11,8.8.8.8.6.6.11.11.11,1,1
syllab,8.6.4.4.6,8.6.4.4.6,1,1
syllab,8.8.8.8.10.6,8.8.8.8.10.6,1,1
syllab,8.6.8.6.10.10,8.6.8.6.10.10,1,1
syllab,8.8.8.8.8.8.8.8.10,8.8.8.8.8.8.8.8.10,1,1
syllab,11.11.11.11.11.11.11.12,11.11.11.11.11.11.11.12,1,1
syllab,9.9.8.8.8.8,9.9.8.8.8.8,1,1
syllab,10.10.10.10.10.10.10.12,10.10.10.10.10.10.10.12,1,1
syllab,6.6.8.6.6.6.8.6,6.6.8.6.6.6.8.6,1,1
syllab,7.7.7.8,7.7.7.8,1,1
syllab,8.7.8.7.8.7.8.7.4,8.7.8.7.8.7.8.7.4,1,1
syllab,4.4.6.4.4.6,4.4.6.4.4.6,1,1
syllab,8.8.8.6.8.6,8.8.8.6.8.6,1,1
syllab,12.12.11.11.11.11,12.12.11.11.11.11,1,1
syllab,8.8.8.8.8.8.8.10,8.8.8.8.8.8.8.10,1,1
syllab,9.9.9.9.8.8,9.9.9.9.8.8,1,1
syllab,8.8.8.10,8.8.8.10,1,1
syllab,8.6.8.6.5.6.8.6,8.6.8.6.5.6.8.6,1,1
syllab,11.11.7.11.11.7,11.11.7.11.11.7,1,1
syllab,8.8.8.6.10.10.10.10.10.10,8.8.8.6.10.10.10.10.10.10,1,1
syllab,8.6.8.6.8.6.8.6.8.10,8.6.8.6.8.6.8.6.8.10,1,1
syllab,8.8.12.12.4,8.8.12.12.4,1,1
syllab,7.8.7.8.7.8.7.8,7.8.7.8.7.8.7.8,1,1
syllab,11.11.11.11.11.11.11,11.11.11.11.11.11.11,1,1
syllab,9,9,1,1
syllab,8.8.6.6.8,8.8.6.6.8,1,1
syllab,7.7.7.6.6.6,7.7.7.6.6.6,1,1
syllab,12.12,12.12,1,1
syllab,8.8.8.8.8.8.8.8.8.8.8.6,8.8.8.8.8.8.8.8.8.8.8.6,1,1
syllab,8.10.10.10.10.12,8.10.10.10.10.12,1,1
syllab,7.8.7.7,7.8.7.7,1,1
syllab,,(unclassified),280,73
rhyme,aa,aa,1504,244
rhyme,abab,abab,773,154
rhyme,irregular,irregular,162,52
rhyme,aabb,aabb,152,50
rhyme,aabccb,aabccb,123,63
rhyme,xaxa,xaxa,117,41
rhyme,aabbcc,aabbcc,81,38
rhyme,ababcdcd,ababcdcd,75,38
rhyme,ababcc,ababcc,64,38
