poem_id,aut_id,foottype,footnums,stanza,spos,syllab,form,met,rhyme,nlines
o4739-w0020,pers00284,iamb,tetrameter,couplet,pair,8,occasional,-+|-+|-+|-+/,aa,22
o4039-w0210,pers00288,anapaest,tetrameter,quatrain,pair,11.11.11.11,song|address,-+|--+|--+|--+/ -+|--+|--+|--+/ -+|--+|--+|--+/ -+|--+|--+|--+/,aabb,28
o5155-w0270,pers00045,iamb,tetrameter|trimeter,quatrain,cross,8.6.8.6,ballad|chevy-chase|satire,-+|-+|-+|-+/          -+|-+|-+/         -+|-+|-+|-+/          -+|-+|-+/,abab,32
peh89-w0340,pers00324,iamb,pentameter|trimeter,quatrain,,10.10.10.6,meditation,-+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+/,,4
bjb18-w0810,pers00287,iamb,tetrameter|dimeter,quatrain,,8.8.8.4.8.8.8.4.8.8.8.4,hymn,-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+/,aaabcccbdddb,12
ojg27-w0460,pers00303,iamb,tetrameter,couplet,pair,8,fable,-+|-+|-+|-+/,aa,40
bhw18-w0350,pers00276,iamb,pentameter,quatrain,cross,10.10.10.10,heroicquatrain|elegy,-+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/,abab,32
cac95-w0190,pers00301,iamb,tetrameter,quatrain,cross,8.8.8.8,song,-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/,abab,36
o3794-w0040,pers00269,iamb,pentameter,couplet,pair,10,heroiccouplet|essay,-+|-+|-+|-+|-+/,aa,734
o4546-w0010,pers00304,iamb,tetrameter|pentameter,ten-line,cross|pair,8.8.8.8.8.8.8.8.10.10,ode,-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/,ababccddee,160
o4987-w0900,pers00254,iamb,pentameter,,,10,blankverse|essay,-+|-+|-+|-+|-+/,,150
oae86-w0010,pers00272,iamb,pentameter,couplet,pair,10,heroiccouplet|essay,-+|-+|-+|-+|-+/,aa,696
pyl90-w0040,pers00322,iamb,pentameter,couplet,pair,10,heroiccouplet,-+|-+|-+|-+|-+/,aa,102
pmp18-w0640,pers00314,iamb,pentameter,sestet,,10.10.10.10.10.10,translation,-+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/,aabbcc,6
pse03-w0350,pers00272,iamb,tetrameter|trimeter,quatrain,cross,8.6.8.6,ballad|song,-+|-+|-+|-+/ -+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+/,abab,12
par19-w0170,pers00351,anapaest,tetrameter,quatrain,cross,12.12.12.12,,--+|--+|--+|--+/ --+|--+|--+|--+/ --+|--+|--+|--+/ --+|--+|--+|--+/,abab,48
o5157-w0670,pers00058,iamb,trimeter|tetrameter|pentameter,,,,ode,irregular,irregular,98
pjo50-w0070,pers00273,iamb,tetrameter,couplet,pair,8,,-+|-+|-+|-+/,aa,30
o5156-w1237,pers00108,iamb,pentameter,couplet,pair,11,epigram|imitation|translation|paraphrase|distich,-+|-+|-+|-+|-+|-/,aa,2
pcm93-w0270,pers00313,iamb,pentameter,quatrain,cross,10.10.10.10,occasional,-+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/ -+|-+|-+|-+|-+/,abab,14
o5153-w0793,pers00119,iamb,tetrameter|trimeter,quatrain,cross,8.6.8.6,ballad|chevy-chase|epigram,-+|-+|-+|-+/       -+|-+|-+/      -+|-+|-+|-+/       -+|-+|-+/,abab,4
ojg27-w0050,pers00303,iamb,tetrameter,couplet,pair,8,fable,-+|-+|-+|-+/,aa,50
o5155-w0640,pers00057,iamb,tetrameter,quatrain,cross,8.8.8.8,imitation|translation|paraphrase,-+|-+|-+|-+/          -+|-+|-+|-+/          -+|-+|-+|-+/          -+|-+|-+|-+/,abab,24
o5157-w0072,pers00038,iamb,pentameter,quatrain,cross,10.10.10.10,heroiccouplet|elegy,-+|-+|-+|-+|-+/     -+|-+|-+|-+|-+/     -+|-+|-+|-+|-+/     -+|-+|-+|-+|-+/,abab,56
pmp18-w0270,pers00314,iamb,tetrameter,couplet,pair,8,narrative,-+|-+|-+|-+/,aa,77
clc03-w0040,pers00349,iamb,pentameter|tetrameter|trimeter,,,,address,irregular,irregular,77
o4672-w0340,pers00292,iamb,tetrameter,quatrain,cross,8.8.8.8,hymn,-+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/ -+|-+|-+|-+/,abab,24
o5156-w0123,pers00035,iamb,tetrameter,quatrain,cross,8.8.8.8,song,-+|-+|-+|-+/          -+|-+|-+|-+/          -+|-+|-+|-+/          -+|-+|-+|-+/,abab,16
pro75-w0070,pers00271,iamb,pentameter,couplet,pair,10,heroiccouplet|character,-+|-+|-+|-+|-+/,aa,14
o5157-w0240,pers00006,iamb,tetrameter,quatrain,cross,8.8.8.8,,-+|-+|-+|-+/         -+|-+|-+|-+/         -+|-+|-+|-+/         -+|-+|-+|-+/,abab,30
cac95-w0130,pers00301,iamb,pentameter,couplet,pair,10,heroiccouplet|narrative,-+|-+|-+|-+|-+/,aa,668
o5152-w0060,pers00011,iamb,pentameter,couplet,pair,10,heroiccouplet|elegy,-+|-+|-+|-+|-+/,aa,32
o4739-w0080,pers00285,iamb,tetrameter,couplet,pair,8,address,-+|-+|-+|-+/,aa,50
n09pf-w0030,pers00355,iamb,tetrameter,couplet,pair,8,,-+|-+|-+|-+/,aa,81
